v1	V(vd)	I(D1)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	9.999151e-02	8.492038e-08
2.000000000000000e-01	1.999320e-01	6.802377e-07
3.000000000000000e-01	2.995179e-01	4.820756e-06
4.000000000000000e-01	3.967869e-01	3.216316e-05
5.000000000000000e-01	4.828029e-01	1.719738e-04
6.000000000000000e-01	5.436847e-01	5.631534e-04
7.000000000000000e-01	5.818462e-01	1.182338e-03
7.999999999999999e-01	6.069631e-01	1.930492e-03
8.999999999999999e-01	6.251155e-01	2.748858e-03
9.999999999999999e-01	6.392572e-01	3.608875e-03
1.100000000000000e+00	6.504959e-01	4.495807e-03
1.200000000000000e+00	6.598974e-01	5.401333e-03
1.300000000000000e+00	6.679776e-01	6.320384e-03
1.400000000000000e+00	6.750422e-01	7.249673e-03
1.500000000000000e+00	6.813099e-01	8.186961e-03
1.600000000000000e+00	6.869383e-01	9.130655e-03
1.700000000000000e+00	6.920434e-01	1.007959e-02
1.800000000000000e+00	6.967125e-01	1.103289e-02
1.900000000000001e+00	7.010133e-01	1.198988e-02
2.000000000000000e+00	7.049988e-01	1.295002e-02
2.100000000000001e+00	7.087117e-01	1.391289e-02
2.200000000000001e+00	7.121867e-01	1.487814e-02
2.300000000000001e+00	7.154521e-01	1.584548e-02
2.400000000000001e+00	7.185317e-01	1.681469e-02
2.500000000000001e+00	7.214453e-01	1.778555e-02
2.600000000000001e+00	7.242100e-01	1.875790e-02
2.700000000000001e+00	7.268401e-01	1.973160e-02
2.800000000000001e+00	7.293482e-01	2.070652e-02
2.900000000000001e+00	7.317451e-01	2.168255e-02
3.000000000000001e+00	7.340403e-01	2.265960e-02
3.100000000000001e+00	7.362420e-01	2.363758e-02
3.200000000000002e+00	7.383576e-01	2.461642e-02
3.300000000000002e+00	7.403936e-01	2.559606e-02
3.400000000000002e+00	7.423559e-01	2.657644e-02
3.500000000000002e+00	7.442496e-01	2.755750e-02
3.600000000000002e+00	7.460794e-01	2.853921e-02
3.700000000000002e+00	7.478495e-01	2.952150e-02
3.800000000000002e+00	7.495638e-01	3.050436e-02
3.900000000000002e+00	7.512255e-01	3.148774e-02
4.000000000000002e+00	7.528380e-01	3.247162e-02
4.100000000000001e+00	7.544041e-01	3.345596e-02
4.200000000000001e+00	7.559264e-01	3.444074e-02
4.300000000000001e+00	7.574074e-01	3.542593e-02
4.400000000000000e+00	7.588492e-01	3.641151e-02
4.500000000000000e+00	7.602540e-01	3.739746e-02
4.600000000000000e+00	7.616235e-01	3.838376e-02
4.699999999999999e+00	7.629596e-01	3.937040e-02
4.799999999999999e+00	7.642639e-01	4.035736e-02
4.899999999999999e+00	7.655378e-01	4.134462e-02
5.000000000000000e+00	7.667829e-01	4.233217e-02
